Competition 1,Competition 2,Competition 3,Competition 4 ,Competition 5,Competition 6,Competition 7,Competition 8,Competition 8,Competition 9,Competition 10,,
224184,88861,413624,0,0,0,0,0,0,0,0,4,Cool Beans The Ultimate Guide Cooking Worlds Most 
76113,0,0,0,0,0,0,0,0,0,0,2,Eating Color Delicious Healthy Recipes You Your Family 
80336,601662,1720909,3631403,63828,133476,0,1510302,0,0,0,9,The Healthy Smoothie Bible Lose Weight Detoxify Fight 
50021,0,0,0,0,0,0,0,0,0,0,2,One Pan Two Plates More Than Complete Weeknight 
224724,41089,1362713,123315,210515,14812,76666,85356,752,448547,1361950,45,The Minute Vegetarian Cookbook Healthy Delicious Meals Busy 
0,55628,41680,8636,684,780748,469842,114443,1712060,113543,70906,23,The Complete Vegetarian Cookbook A Fresh Guide Eating 
34816,0,0,0,0,0,0,0,0,0,0,2,You deserve Simple Natural Recipes For A Healthy 
651586,9631,379203,314463,1479323,94058,34115,847826,587107,13762,5063,15,DR SEBI How Naturally Detox Liver Reverse Diabetes 
1313,0,0,0,0,0,0,0,0,0,0,2,Ultimate Veg Easy Delicious Meals Everyone American Measurements 
743,286731,51476,49115,31568,3573,2930,489208,0,891818,152326,111,Atkins Diet Plan The Complete Beginners Guide With 
108685,0,0,0,0,0,0,0,0,0,0,2,Ruffage A Practical Guide Vegetables 
3287410,679887,64086,2788788,90170,467310,53956,2594084,2927262,63272,0,11,Nutribullet Recipe Book Smoothie Recipes WeightLoss Detox AntiAging 
35960,8514,3150,12506,24824,14802,10366,12577,76583,88861,92814,33,Forks Over Knives—The Cookbook Over Recipes PlantBased Eating 
1174502,49667,0,0,0,0,0,0,0,0,0,3,Arial Chef UnicornPreneur Book 
101709,170624,125509,590005,78370,448381,30436,341270,178207,125509,55833,35,The Complete Guide Edible Wild Plants 
849995,830144,511474,0,0,0,0,0,0,0,0,4,Pam Jam The Book Preserves 
612493,480659,88861,60819,17261,27794,752,347721,2036,14802,159429,109,Vegetarian Instant Pot Cookbook Fast Easy Follow Healthy 
1778966,14244,722904,4816,649472,942498,20335,499907,344332,259861,998625,215,The Farmers Market Cookbook 
155497,93550,188288,210832,62073,80,58788,167787,165835,3573,425849,186,Ingredients Quick Easy Food The UK edition 
224580,513312,793905,44292,8514,401420,850818,64427,330801,255726,354118,190,Plant Based Diet Cookbook For Beginners HighProtein Healthy 
28998,0,383470,55532,187621,14802,12506,27928,498973,136571,35960,58,The No Meat Athlete Cookbook Whole Food PlantBased 
212838,487107,174178,626090,339994,121554,300246,109770,463835,319094,0,11,AFFORDABLE PLANTBASED COOKING WITH YOUR INSTANT POT Quick 
140665,0,0,0,0,0,0,0,0,0,0,2,Amish Canning Preserving How Make Soups Sauces Pickles 
1474836,1394059,0,0,0,0,0,0,0,0,0,4,Love Your Body Feed Your Soul SelfCare Rituals 
58022,0,0,0,0,0,0,0,0,0,0,2,Whole Food Cooking Every Day Transform Way You 
12105,0,0,0,0,0,0,0,0,0,0,2,Plenty Vibrant Vegetable Recipes Londons Ottolenghi 
